,Names,Prices,ratings,images,links
0,"SAMSUNG Galaxy S24 FE 5G (Blue, 128 GB)",44999.0,4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/s/z/-original-imahcfwmdvbcgdzs.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s24-fe-5g-blue-128-gb/p/itme960199e26f23?pid=MOBH4ZG3Z5NCBW2H&lid=LSTMOBH4ZG3Z5NCBW2HWQMO2K&marketplace=FLIPKART&q=samsung+galaxy+s24+fe+5g&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_1&otracker=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&fm=organic&iid=4297b951-1dc1-4af5-97d7-553ba31ddcbb.MOBH4ZG3Z5NCBW2H.SEARCH&ppt=None&ppn=None&ssid=5q32h1who00000001747376271839&qH=f035ec546ac5ed77
1,"SAMSUNG Galaxy S24 FE 5G (Graphite, 128 GB)",44999.0,4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/y/y/-original-imahcfwmhfccryad.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s24-fe-5g-graphite-128-gb/p/itme960199e26f23?pid=MOBH4ZG33EBNZKS7&lid=LSTMOBH4ZG33EBNZKS751CITE&marketplace=FLIPKART&q=samsung+galaxy+s24+fe+5g&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_2&otracker=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&fm=organic&iid=4297b951-1dc1-4af5-97d7-553ba31ddcbb.MOBH4ZG33EBNZKS7.SEARCH&ppt=None&ppn=None&ssid=5q32h1who00000001747376271839&qH=f035ec546ac5ed77
2,"SAMSUNG Galaxy S24 FE 5G (Blue, 256 GB)",50999.0,4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/r/s/z/-original-imahcfwmdvbcgdzs.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s24-fe-5g-blue-256-gb/p/itme960199e26f23?pid=MOBH4ZG3E9SB6WDQ&lid=LSTMOBH4ZG3E9SB6WDQVVLSZR&marketplace=FLIPKART&q=samsung+galaxy+s24+fe+5g&store=tyy%2F4io&srno=s_1_3&otracker=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&fm=organic&iid=4297b951-1dc1-4af5-97d7-553ba31ddcbb.MOBH4ZG3E9SB6WDQ.SEARCH&ppt=None&ppn=None&ssid=5q32h1who00000001747376271839&qH=f035ec546ac5ed77
3,"SAMSUNG Galaxy S24 FE 5G (Mint, 256 GB)",50999.0,4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/m/g/-original-imahcfwmrnwy9zgn.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s24-fe-5g-mint-256-gb/p/itme960199e26f23?pid=MOBH4ZG3JACNJMZC&lid=LSTMOBH4ZG3JACNJMZCFREL85&marketplace=FLIPKART&q=samsung+galaxy+s24+fe+5g&store=tyy%2F4io&srno=s_1_4&otracker=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&fm=organic&iid=4297b951-1dc1-4af5-97d7-553ba31ddcbb.MOBH4ZG3JACNJMZC.SEARCH&ppt=None&ppn=None&ssid=5q32h1who00000001747376271839&qH=f035ec546ac5ed77
4,"SAMSUNG Galaxy S24 FE 5G (Graphite, 256 GB)",50999.0,4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/n/y/y/-original-imahcfwmhfccryad.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s24-fe-5g-graphite-256-gb/p/itme960199e26f23?pid=MOBH4ZG3KPRR7HWZ&lid=LSTMOBH4ZG3KPRR7HWZWYHPPG&marketplace=FLIPKART&q=samsung+galaxy+s24+fe+5g&store=tyy%2F4io&srno=s_1_5&otracker=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&fm=organic&iid=4297b951-1dc1-4af5-97d7-553ba31ddcbb.MOBH4ZG3KPRR7HWZ.SEARCH&ppt=None&ppn=None&ssid=5q32h1who00000001747376271839&qH=f035ec546ac5ed77
5,"SAMSUNG Galaxy S24 FE 5G (Mint, 128 GB)",44999.0,4.5,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/t/m/g/-original-imahcfwmrnwy9zgn.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s24-fe-5g-mint-128-gb/p/itme960199e26f23?pid=MOBH4ZG3TSXHKXH2&lid=LSTMOBH4ZG3TSXHKXH2BH0BQS&marketplace=FLIPKART&q=samsung+galaxy+s24+fe+5g&store=tyy%2F4io&spotlightTagId=default_BestsellerId_tyy%2F4io&srno=s_1_6&otracker=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&fm=organic&iid=4297b951-1dc1-4af5-97d7-553ba31ddcbb.MOBH4ZG3TSXHKXH2.SEARCH&ppt=None&ppn=None&ssid=5q32h1who00000001747376271839&qH=f035ec546ac5ed77
6,"SAMSUNG Galaxy S24 5G (Cobalt Violet, 256 GB)",60999.0,4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/5/3/-original-imahcfwmnqgkdfxr.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s24-5g-cobalt-violet-256-gb/p/itme4c78903b0c9f?pid=MOBGX2F3GNSJZ23R&lid=LSTMOBGX2F3GNSJZ23REJ6ZQ8&marketplace=FLIPKART&q=samsung+galaxy+s24+fe+5g&store=tyy%2F4io&srno=s_1_7&otracker=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&fm=organic&iid=4297b951-1dc1-4af5-97d7-553ba31ddcbb.MOBGX2F3GNSJZ23R.SEARCH&ppt=None&ppn=None&ssid=5q32h1who00000001747376271839&qH=f035ec546ac5ed77
7,"SAMSUNG Galaxy S24 5G (Marble Gray, 128 GB)",54999.0,4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/y/u/t/-original-imahcfwmayeffqz3.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s24-5g-marble-gray-128-gb/p/itmd5309d6e0a151?pid=MOBHYJ6QZP2UA4X9&lid=LSTMOBHYJ6QZP2UA4X9WSTBPZ&marketplace=FLIPKART&q=samsung+galaxy+s24+fe+5g&store=tyy%2F4io&srno=s_1_8&otracker=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&fm=organic&iid=4297b951-1dc1-4af5-97d7-553ba31ddcbb.MOBHYJ6QZP2UA4X9.SEARCH&ppt=None&ppn=None&ssid=5q32h1who00000001747376271839&qH=f035ec546ac5ed77
8,"SAMSUNG Galaxy S24 5G (Cobalt Violet, 128 GB)",54999.0,4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/9/5/3/-original-imahcfwmnqgkdfxr.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s24-5g-cobalt-violet-128-gb/p/itma2ec54ed01030?pid=MOBHYJ6Q3ZAFJTF7&lid=LSTMOBHYJ6Q3ZAFJTF7GUPLRR&marketplace=FLIPKART&q=samsung+galaxy+s24+fe+5g&store=tyy%2F4io&srno=s_1_9&otracker=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&fm=organic&iid=4297b951-1dc1-4af5-97d7-553ba31ddcbb.MOBHYJ6Q3ZAFJTF7.SEARCH&ppt=None&ppn=None&ssid=5q32h1who00000001747376271839&qH=f035ec546ac5ed77
9,"SAMSUNG Galaxy S24 5G (Cobalt Violet, 128 GB)",59999.0,4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/g/y/-original-imahyvnuptvxgany.jpeg?q=70,https://www.flipkart.com/samsung-galaxy-s24-5g-cobalt-violet-128-gb/p/itmd7a1209e2c6d5?pid=MOBH3P2QD55XJYPN&lid=LSTMOBH3P2QD55XJYPNVA6E1M&marketplace=FLIPKART&q=samsung+galaxy+s24+fe+5g&store=tyy%2F4io&srno=s_1_10&otracker=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&otracker1=AS_QueryStore_OrganicAutoSuggest_1_16_na_na_ps&fm=organic&iid=4297b951-1dc1-4af5-97d7-553ba31ddcbb.MOBH3P2QD55XJYPN.SEARCH&ppt=None&ppn=None&ssid=5q32h1who00000001747376271839&qH=f035ec546ac5ed77
